FirstName,LastName,Organization
Giuseppe,Oriolo,La Sapienza
Ana,Paiva,INESC-ID / U of Lisbon
Ivana,Palunko,University of Dubrovnik
Jia,Pan,City University of Hong Kong
Dimitra,Panagou,University of Michigan
Robbie,Paolini,CMU
Hae-Won,Park,Univ of Illinois
Rohan,Paul,MIT
Liam,Paull,MIT
Quang Cuong,Pham,Nanyang Technological University
Elizabeth,Phillips,Brown University
Camilla,Pierella,Ecole Polytechnique Fe&#769;de&#769;rale de Lausanne (EPFL)
Patrick,Pilarski,University of Alberta
Florian,Pokorny,KTH
Ioannis,Poulakakis,Univ of Delaware
Paul,Pounds,University of Queensland
Cedric,Pradalier,GeorgiaTech Lorraine
Amanda,Prorok,University of Pennsylvania
Fabio,Ramos,University of Sydney
Nathan,Ratliff,Lula Robotics
David,Remy,U.Michigan
Charlie,Richter,MIT
Martin,Riedmiller,Google
Laurel,Riek,UCSD
Ludovic,Righetti,MPI Intelligent Systems
Paolo,Robuffo Giordano,IRISA-CNRS
Alberto,Rodriguez,MIT
Nicolas,Rojas,Imperial College London
David,Rosen,Oculus Research
Stephanie,Rosenthal,CMU
Stergios,Roumeliotis,University of Minnesota
Elliott,Rouse,Northwestern University
Lorenzo,Sabattini,University of Modena and Reggio Emilia
Dorsa,Sadigh,UC Berkeley
Paolo,Salaris,INRIA
Gionata,Salvietti,IIT
Yulia,Sandamirskaya,U. Zurich
Silvio,Savarese,Stanford
Davide,Scaramuzza,University of Zurich
Stefan,Schaal,MPI Intelligent Systems
Sebastian,Scherer,CMU
Joe,Schimmels,Marquette
Edward,Schmerling,Stanford
Cordelia,Schmid,Inria Grenoble
Jim,Schmiedeler,Notre Dame
Mac,Schwager,Stanford
Alessandra,Sciutti,Italian Institute of Technology
Jon,Sensinger,University of New Brunswick
Jungwon,Seo,The Hong Kong Univ. of Science and Technology
Julie,Shah,MIT
Ehud,Sharlin,University of Calgary
Dylan,Shell,Texas A&M
Shaojie,Shen,HKUST
Candy,Sidner,WPI
Nabil,Simaan,Vanderbilt
Thierry,Simeon,LAAS-CNRS
Surya,Singh,University of Queensland
Stephen,Smith,U Waterloo
Matthew,Spenko,Illinois Institute of Technology
Andrew,Spielberg,MIT
Sebastian,Stabinger,
Olivier,Stasse,LAAS-CNRS
Aaron,Steinfeld,CMU
Yu,Sun,University of South Florida
Dan,Szafir,U of Colorado
Xiaobo,Tan,Michigan St. U.
Juan,Tardos,Zaragoza
Russ,Taylor,Johns Hopkins
Evangelos,Theodorou,Georgia Tech
Justin,Thomas,UPenn
Jesse,Thomason,UT Austin
Ufuk,Topcu,UT Austin
Carme,Torras,Institut de Robo&#768;tica i Informa&#768;tica Industrial (CSIC-UPC)
Matthew,Travers,CMU
Sebastian,Trimpe ,MPI Tuebingen
Frank,van der Stappen,Utrecht University
Herke,van Hoof,McGill
Vincent,Vanhoucke,Google
Ram,Vasudevan,University of Michigan
Will,Vega-Brown,MIT
Rene,Vidal,Johns Hopkins
Sethu,Vijayakumar,U. Edinburgh
Markus,Vincze,TU Vienna
Sasi,Viswanathan,Syracuse University
Richard,Voyles,Purdue
Steve,Waslander,U. Waterloo
Astrid,Weiss,"Technical University, Vienna"
Stephan,Weiss,Alpen-Adria University
Jon,Weisz,Ready Robotics
Stefan,Williams,University of Sydney
Martijn,Wisse,Delft
Lawson,Wong,Brown University
Jeremy,Wyatt,U of Birmingham
Anqi,Xu,McGill University
Zhe,Xu,Yale University
Michael,Yip,UCSD
Eiichi,Yoshida,AIST
Jim,Young,U of Manitoba
Jingjin,Yu,Rutgers
Amir,Zamir,Stanford
Melanie,Zeilinger,ETH Zurich
Hong,Zhang,U. Alberta
Yu,Zheng,University of Michigan-Dearborn
Brian,Ziebart,UIC
Michael,Zillich,TU Vienna
